@relation bivariate

@attribute X1 numeric
@attribute X2 numeric
@attribute Y numeric

@data
-2.59039,6.231477,2.187286
2.879403,1.246808,4.829517
7.849518,4.314685,5.722393
9.405959,-8.728243,7.468619
-1.009493,-5.84885,5.229097
5.042326,9.909872,3.509143
2.740518,4.937613,2.339512
2.681229,-2.317607,5.508312
6.485621,-9.613478,6.779729
-3.260466,8.232908,-0.202714
9.880423,-9.48201,9.324902
-9.594089,2.81034,-0.628968
-9.182641,9.087937,-0.02799
-5.164959,-8.524245,4.380464
-5.974315,-1.825305,2.024494
-9.221197,5.379226,-0.049828
5.643937,4.48347,4.179424
6.622596,3.151524,3.78358
-0.921763,3.564319,2.551399
0.938939,1.899544,1.753643
-9.881813,-6.652433,2.184963
-1.672869,0.803685,3.298761
8.618862,-4.85627,6.379784
-5.092929,-4.217258,2.559799
3.851955,-5.618515,4.659723
1.996145,-1.175304,2.769037
0.524347,-4.046414,5.25791
-1.162286,-4.722833,2.441294
0.491456,-8.325142,6.098342
-1.510877,-0.243068,3.078306
-8.074451,0.873419,0.317266
4.597699,6.58839,3.615017
6.988513,-7.243406,7.83498
-4.943814,0.317606,1.865515
-6.173744,3.869286,0.141525
7.851409,-1.922309,5.889623
2.935828,7.108242,1.684715
-8.619044,-1.064268,0.486503
8.614174,1.313153,4.856443
-7.218287,-7.098924,2.947265
8.30029,-6.871904,6.425332
-1.811281,2.076481,2.6094
3.402506,9.226293,2.270251
6.092458,-4.492235,5.979916
-4.881933,-2.274722,1.703856
0.201789,7.348733,2.259813
7.692188,-7.968323,6.259326
5.903029,0.136253,6.226071
-7.471483,9.51199,0.337547
-8.963434,3.965832,-0.548231
-7.874017,9.770426,-1.890877
1.262243,-4.423365,5.320346
-0.622116,0.315908,3.479128
-8.887929,5.020843,-1.540928
-3.863084,6.389851,0.798289
-4.317264,7.287931,-0.699883
0.669028,-3.938073,4.993875
9.974263,-5.114153,8.161745
-4.087857,9.201296,-0.058222
1.299998,2.487302,3.963927
7.53572,6.680545,5.592409
-7.462142,-4.457041,1.759363
-7.541604,-2.557578,2.913528
2.627132,0.108118,4.771687
-9.414255,7.350523,0.209233
-1.959272,-3.022387,4.283099
5.817561,0.454451,4.415025
-6.457664,6.833538,1.091027
1.644978,-5.898915,4.127889
-5.589621,-1.817681,2.506776
7.488255,-2.970022,7.211185
2.370718,-9.806974,6.911006
7.35137,8.130931,3.136806
4.573217,-0.085029,3.154503
-6.553304,1.769482,-0.188543
-4.383236,-7.180366,3.040072
-5.674286,1.433227,2.524631
-4.61898,3.723473,-0.333952
-8.684561,6.474605,0.747453
6.610497,-5.818378,5.629345
-9.036417,-1.820456,0.736551
3.415409,3.145697,4.278258
-0.345463,4.743252,3.564972
-9.972796,6.975178,-1.633816
-6.597182,-6.153156,2.802665
9.810031,-3.548312,5.489315
0.46389,-9.683986,3.953953
2.961296,-1.60442,5.618412
-6.215022,5.531768,0.287674
-2.460536,-6.110642,4.320356
-2.372139,-7.496827,2.98871
1.282728,-4.016063,4.65346
2.594359,-0.939914,3.12963
3.398943,3.034891,3.990114
-7.696831,9.299381,-0.459493
0.845351,7.094097,2.812536
-2.629265,-6.427356,2.859327
2.759088,8.556313,1.618636
1.209926,-7.164498,4.603495
-0.129238,-7.362452,6.023556
2.015645,-6.343829,4.92575
8.624188,6.959666,4.214689
2.942586,-5.084707,4.464071
4.664003,-3.420345,6.207049
-2.443257,4.431488,2.837011
4.189229,5.568006,3.723397
-2.873876,7.268566,-0.355185
-0.085379,-2.364895,2.293245
5.863728,-2.24221,6.104142
9.134264,3.735553,5.876785
-9.285531,-2.650637,0.67837
-0.695158,9.748937,0.291694
-2.972163,-7.533802,3.167159
-9.484831,-1.174052,0.37438
-8.579441,9.810146,-0.248381
9.143934,8.936109,3.757468
-8.634279,-0.239966,0.304126
-1.876188,-4.859903,3.829709
-9.707434,3.744582,-1.753631
0.322501,-4.293911,5.49688
-6.400512,9.166479,0.609483
-2.817476,6.367667,0.65295
-9.589321,4.570707,-0.258263
-1.314391,-0.219694,1.827802
9.438717,1.934468,6.713978
2.953101,8.962794,3.211673
4.957916,-6.434739,4.932913
-5.575067,-3.933991,3.145733
-9.409948,-7.587625,2.370373
6.811072,5.337064,3.524771
-1.504433,-7.520871,4.300844
9.823046,3.542125,6.564939
